Date,Title,Description,Banner,Article Link,Author,Content
3 Jan 2025,Ethiopia villagers flee volcanic activity 'in panic' ,"
Tremors have been reported in the surrounding area and steam has been seen rising from the volcano.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cwy3zvvn1vyo,3 January 2025ShareSaveAdd as preferred on Google,"Hundreds of people in a rural part of Ethiopia, 165km (100 miles) north-east of the capital, Addis Ababa, have been leaving their homes in panic as a ..."
30 Dec 2024,Dozens die in Ethiopia after lorry with wedding guests falls into river,"It is thought the truck, which was reportedly carrying several wedding guests, was overloaded.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c5y47lz0g82o,30 December 2024ShareSaveAdd as preferred on GoogleWedaeli ChibelushiBBC News,"At least 71 people have died in southern Ethiopia after a lorry plunged into a river, officials say. The vehicle, which was travelling through Sidama ..."
12 Dec 2024,Ethiopia and Somalia agree to end bitter Somaliland port feud,"Ethiopia's deal to build a port in Somaliland had infuriated Somalia, prompting fears of wider conflict.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cvgr7v1evvgo,12 December 2024ShareSaveAdd as preferred on GoogleKalkidan Yibeltal in Addis Ababa & Basillioh Rukanga in NairobiBBC News,Ethiopia and Somalia have agreed to end their bitter dispute over Addis Ababa's plans to build a port in the breakaway republic of Somaliland followin...
29 Nov 2024,Eritrean refugees describe police crackdown in Ethiopia,Hundreds have reportedly detained in recent weeks as relations between the two countries worsen.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/ce897l7256ro,29 November 2024ShareSaveAdd as preferred on GoogleTeklemariam BekitBBC Tigrinya,"Eritrean residents in Ethiopia's capital have reported widespread arrests among their community, sparking fear among refugees and asylum seekers who f..."
24 Nov 2024,'We knew Christmas before you' - the Band Aid fallout ,"Forty years on, the Band Aid song continues to generate debate about the way it presents Africa.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c9dl22gz3vlo,24 November 2024ShareSaveAdd as preferred on GoogleDamian ZaneBBC News,"Forty years on from the original recording, the cream of British and Irish pop music past and present are once again asking whether Ethiopians know it..."
2 Nov 2024,'I lost my leg on the way home from school',"Two years since war ended in northern Ethiopia, discarded weapons are proving deadly and maiming people.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cyv7e6mr2gpo,"2 November 2024ShareSaveAdd as preferred on GoogleKalkidan YibeltalBBC News, Tigray",Warning: this story contains descriptions of injury detail Berhane Haile was walking home from school earlier this year through the mountainous countr...
29 Oct 2024,Nurse who inspired Live Aid marks key milestone,A nurse marks 40 years since her work in Ethiopia became the inspiration for the Live Aid concerts.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c5yrlddzj2wo,"29 October 2024ShareSaveAdd as preferred on GoogleClara BullockBBC News, Somerset",A nurse is marking 40 years since the moment her work in Ethiopia became the inspiration for a worldwide musical fundraising drive. Dame Claire Bertsc...
10 Oct 2024,"Eritrea, Egypt and Somalia cement 'axis against Ethiopia'","The leaders of the three nations, which all have tensions with Ethiopia, agree to greater co-operation.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cdje7pkv1zxo,10 October 2024ShareSaveAdd as preferred on GoogleTeklemariam BekitBBC Tigrinya,"The leaders of Egypt, Somalia and Eritrea – countries which all have strained relations with Ethiopia – have been meeting in the Eritrean capital, Asm..."
7 Oct 2024,Ethiopia president replaced after falling out with PM,Sahle-Work Zewde was the country's first female head of state - a largely ceremonial position.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c4g401e086no,"7 October 2024ShareSaveAdd as preferred on GoogleKalkidan YibeltalBBC News, Addis Ababa","Ethiopia's parliament has approved the appointment of a new president to replace the country's first female head of state, Sahle-Work Zewde. Taye Asti..."
27 Sep 2024,Ethiopia festival fires burn bright despite downpour,"Orthodox Christians in Ethiopia celebrate Meskel, the first major festival of the religious year.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cd6qgyg5343o,27 September 2024ShareSaveAdd as preferred on Google,"Thousands in Ethiopia's capital city defied a downpour to celebrate Meskel, the first big festival of the religious year. It marks the discovery of th..."
24 Sep 2024,Egyptian ship delivers weapons to Somalia,"The second shipment in a month arrives, as tensions increase between the two countries and Ethiopia.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cglk038p1d3o,24 September 2024ShareSaveAdd as preferred on GoogleWill Ross & Damian ZaneBBC News,"An Egyptian ship has delivered a significant consignment of military equipment to Somalia, security officials in the capital, Mogadishu, are quoted as..."
10 Sep 2024,How an Ethiopian emperor ended up living in Bath,"Emperor Haile Selassie fled to Bath in 1936, where he became ""engrained"" in the local community.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c8jl2l8p3klo,"10 September 2024ShareSaveAdd as preferred on GoogleHarriet Robinson,BBC News, West of EnglandandAnoushka Mutanda-Dougherty,BBC World Service","It has been 50 years since an emperor, described by many as the ""Father of Africa"", was overthrown by security forces known as the Derg in a “creeping..."
9 Sep 2024,Ethiopia hits out at Egypt as Nile dam row escalates,The countries exchange angry words over the project amid concerns about worsening relations.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cp3dgx36gn5o,"9 September 2024ShareSaveAdd as preferred on GoogleKalkidan YibeltalBBC News, Addis Ababa",Ethiopia has said Egypt “must abandon its aggressive approach” towards a controversial hydroelectric dam on the River Nile as tensions between the two...
8 Sep 2024,Ethiopia warns against invasion amid regional tensions,"PM Abiy Ahmed says anyone planning an attack should ""think 10 times"", touting Ethiopia's defensive abilities.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c3vxqk9g43no,8 September 2024ShareSaveAdd as preferred on GoogleFarouk ChothiaBBC News,"Ethiopia's Prime Minister has warned that anyone planning on invading his country should ""think 10 times"" before doing so because, he said, any attack..."
3 Sep 2024,"Horn of Africa airlink, once symbolic of peace, suspended",The airlink was re-instated only six years ago after a long period of tension between the neighbours.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c62r1r5g816o,"3 September 2024ShareSaveAdd as preferred on GoogleTeklemariam BekitBBC Tigrinya, Nairobi","Ethiopian Airlines (EA) has suspended flights to and from Asmara, the capital of neighbouring Eritrea, citing “difficult operating conditions"" beyond ..."
30 Aug 2024,Why Ethiopia is so alarmed by an Egypt-Somalia alliance,Tensions flare with the arrival of Egyptian planes in Mogadishu and the planned deployment of troops.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cvg415vex37o,"30 August 2024ShareSaveAdd as preferred on GoogleIan WafulaAfrica security correspondent, BBC News","A military alliance between Somalia and Egypt is ruffling feathers in the fragile Horn of Africa, upsetting Ethiopia in particular - and there are wor..."
25 Aug 2024,Cyclist to miss world races if no asylum interview,Trhas Teklehaimanot cannot compete in the world championships unless she is granted refugee status.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c2edn8lm32mo,25 August 2024ShareSaveAdd as preferred on GoogleLuxmy GopalBBC News,A gold medal-winning cyclist who has been invited to race in the world championships in September is waiting on an asylum interview to determine wheth...
19 Aug 2024,Outcry at sentence for man who raped and killed girl of 7,"The Ethiopian girl's mother says she feels ""lifeless"" knowing the perpetrator may win his appeal.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c07edzd37zro,"19 August 2024ShareSaveAdd as preferred on GoogleKalkidan YibeltalBBC News, Addis Ababa",Warning: This article contains distressing detail about rape and sexual assault The brutal rape and murder of a seven-year-old girl has sparked outrag...
